_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE
0.0058715,-1.8637261,268.2433333,-29.8897222,1,G000.0-01.8,163,42,MASH,PN G000.0-01.8,MASH,268.24333,-29.88972
0.2306027,-1.9297012,268.4400792,-29.7295389,2,M 2-19,110,170,CAM98,PN M 2-19,MASH,268.44008,-29.72954
0.2082207,-3.4499162,269.94875,-30.5097222,3,G000.2-03.4,100,160,MASH,PN G000.2-03.4,MASH,269.94875,-30.50972
0.3619126,12.2147404,255.3898833,-21.8257694,4,IC 4634,153,27,DSS2,IC 4634,MASH,255.38988,-21.82577
0.298108,7.344573,259.6783333,-24.6902778,5,G000.3+07.3,90,145,MASH,PN G000.3+07.3,MASH,259.67833,-24.69028
0.3156768,4.5272042,262.2804167,-26.2458333,6,G000.3+04.5,160,36,MASH,PN G000.3+04.5,MASH,262.28042,-26.24583
1.0335199,1.9781967,265.114025,-27.017475,7,K 1-4,155,33,DSS2,PN K 1-4,MASH,265.11402,-27.01747
1.2145686,-5.6613888,272.76125,-30.7033333,8,G001.2-05.6,138,19,MASH,PN G001.2-05.6,MASH,272.76125,-30.70333
1.2409307,2.1714854,265.0533917,-26.7392694,9,He 2-262,21,78,HST,Hen 2-262,MASH,265.05339,-26.73927
1.5179666,-2.4585795,269.705,-28.8822222,10,G001.5-02.4,60,120,MASH,PN G001.5-02.4,MASH,269.705,-28.88222
1.590569,-6.7175867,274.0511119,-30.8689031,11,SwSt 1,126,8,HST,PN SwSt 1,MASH,274.05111,-30.8689
1.7135862,-4.4553352,271.8105917,-29.6901417,12,H 1-55,90,151,HST,PN H 1-55,MASH,271.81059,-29.69014
1.8101666,-5.0306351,272.4454167,-29.8816667,13,G001.8-05.0,55,116,MASH,PN G001.8-05.0,MASH,272.44542,-29.88167
1.918116,2.1890508,265.43625,-26.1555556,14,G001.9+02.1,80,138,MASH,PN G001.9+02.1,MASH,265.43625,-26.15556
2.1006336,-13.4430384,281.4608333,-33.3422222,15,IC 4776,34,100,CAM98,IC 4776,MASH,281.46083,-33.34222
2.0702317,6.6100771,261.4229167,-23.6413889,16,G002.0+06.6,60,116,MASH,PN G002.0+06.6,MASH,261.42292,-23.64139
2.0284621,1.5141615,266.1415417,-26.4158611,17,G002.0+01.5,115,173,MASH,PN G002.0+01.5,MASH,266.14154,-26.41586
2.0476035,-3.2523446,270.79125,-28.8141667,18,G002.0-03.2,95,155,MASH,PN G002.0-03.2,MASH,270.79125,-28.81417
2.1782733,-2.4589364,270.0783333,-28.3097222,19,G002.1-02.4,130,10,MASH,PN G002.1-02.4,MASH,270.07833,-28.30972
2.120529,-2.8015351,270.3845833,-28.5291667,20,G002.1-02.8,15,75,MASH,PN G002.1-02.8,MASH,270.38458,-28.52917
2.1151446,-4.204569,271.7801625,-29.2184306,21,H 1-54,137,18,HST,PN H 1-54,MASH,271.78016,-29.21843
2.2859823,5.7974571,262.29375,-23.9083333,22,G002.2+05.8,5,61,MASH,PN G002.2+05.8,MASH,262.29375,-23.90833
2.2380619,-1.2642765,268.94,-27.6613889,23,G002.2-01.2,40,99,MASH,PN G002.2-01.2,MASH,268.94,-27.66139
2.3348236,1.6954956,266.1475,-26.06,24,G002.3+01.7,35,93,MASH,PN G002.3+01.7,MASH,266.1475,-26.06
2.2913164,-9.4806492,277.2985542,-31.4997806,25,Cn 1-5,162,45,HST,PN Cn 1-5,MASH,277.29855,-31.49978
2.4321056,5.84699,262.3351792,-23.7595056,26,NGC 6369,135,44,DSS2,NGC 6369,MASH,262.33518,-23.75951
2.4409173,3.5098316,264.50125,-25.0127778,27,G002.4+03.5,46,103,MASH,PN G002.4+03.5,MASH,264.50125,-25.01278
2.4836144,1.1877279,266.7166667,-26.1972222,28,G002.4+01.1,62,120,MASH,PN G002.4+01.1,MASH,266.71667,-26.19722
2.4116795,-5.0580669,272.8015417,-29.3679167,29,G002.4-05.0,15,76,MASH,PN G002.4-05.0,MASH,272.80154,-29.36792
2.3531253,-3.4122055,271.1203083,-28.6262639,30,H 2-37,71,131,HST,PN H 2-37,MASH,271.12031,-28.62626
2.519932,4.8055706,263.3445833,-24.2513889,31,G002.5+04.8,16,73,MASH,PN G002.5+04.8,MASH,263.34458,-24.25139
2.7386191,-4.8515021,272.77095,-28.9831472,32,M 1-42,21,83,CAM98,PN M 1-42,MASH,272.77095,-28.98315
2.8060739,-4.160953,272.1158333,-28.5936111,33,G002.8-04.1,65,126,MASH,PN G002.8-04.1,MASH,272.11583,-28.59361
2.8000905,1.7471854,266.3679625,-25.636225,34,Te 1567,0,58,HST,Terz N 1567,MASH,266.36796,-25.63622
2.9205482,-3.0465651,271.0720833,-27.9533333,35,G002.9-03.0,15,75,MASH,PN G002.9-03.0,MASH,271.07208,-27.95333
3.0468515,-1.7692086,269.8883333,-27.2138889,36,G003.0-01.7,140,20,MASH,PN G003.0-01.7,MASH,269.88833,-27.21389
3.1503948,5.2786741,263.2795417,-23.4673611,37,G003.1+05.2,135,12,MASH,PN G003.1+05.2,MASH,263.27954,-23.46736
3.124418,-1.6944399,269.85875,-27.1094444,38,G003.1-01.6,100,160,MASH,PN G003.1-01.6,MASH,269.85875,-27.10944
3.1707946,2.928637,265.4698458,-24.7022417,39,Hb 4,140,18,HST,PN Hb 4,MASH,265.46985,-24.70224
3.3917396,-1.6663464,269.9804167,-26.8636111,40,G003.3-01.6,30,90,MASH,PN G003.3-01.6,MASH,269.98042,-26.86361
3.553185,-2.4419678,270.8267,-27.1062806,41,IC 4673,126,7,DSS2,IC 4673,MASH,270.8267,-27.10628
3.5487513,4.5827059,264.1520833,-23.5058333,42,G003.5+04.5,35,92,MASH,PN G003.5+04.5,MASH,264.15208,-23.50583
3.5281849,2.6750181,265.9133333,-24.5313889,43,G003.5+02.6,45,103,MASH,PN G003.5+02.6,MASH,265.91333,-24.53139
3.5978105,-3.0937257,271.4908333,-27.3858333,44,G003.6-03.0,145,25,MASH,PN G003.6-03.0,MASH,271.49083,-27.38583
3.8051885,5.3324525,263.6117375,-22.8888083,45,H 2-15,,,HST,PN H 2-15,MASH,263.61174,-22.88881
3.8502351,-4.3520973,272.8719292,-27.771025,46,H 1-59,71,132,HST,PN H 1-59,MASH,272.87193,-27.77102
4.0440615,-2.5972983,271.2479167,-26.7547222,47,G004.0-02.6,115,175,MASH,PN G004.0-02.6,MASH,271.24792,-26.75472
