_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
0.0058715,-1.8637261,268.2433333,-29.8897222,1,G000.0-01.8,163,42,MASH,PN G000.0-01.8,MASH,268.24333,-29.88972,1.2078603352822914,2.2856122038858935,1.077751868603602
0.2306027,-1.9297012,268.4400792,-29.7295389,2,M 2-19,110,170,CAM98,PN M 2-19,MASH,268.44008,-29.72954,0.7504321330588799,2.676277178412022,1.925845045353142
0.2082207,-3.4499162,269.94875,-30.5097222,3,G000.2-03.4,100,160,MASH,PN G000.2-03.4,MASH,269.94875,-30.50972,1.367307037492051,2.9435817703889864,1.5762747328969353
0.3619126,12.2147404,255.3898833,-21.8257694,4,IC 4634,153,27,DSS2,IC 4634,MASH,255.38988,-21.82577,0.23139807407771606,2.2274398974273826,1.9960418233496666
0.298108,7.344573,259.6783333,-24.6902778,5,G000.3+07.3,90,145,MASH,PN G000.3+07.3,MASH,259.67833,-24.69028,0.13832749252769905,2.9509003161986294,2.8125728236709304
0.3156768,4.5272042,262.2804167,-26.2458333,6,G000.3+04.5,160,36,MASH,PN G000.3+04.5,MASH,262.28042,-26.24583,1.3919680590752206,2.112398875446129,0.7204308163709086
1.0335199,1.9781967,265.114025,-27.017475,7,K 1-4,155,33,DSS2,PN K 1-4,MASH,265.11402,-27.01747,0.609071778077171,2.704515674971532,2.095443896894361
1.2145686,-5.6613888,272.76125,-30.7033333,8,G001.2-05.6,138,19,MASH,PN G001.2-05.6,MASH,272.76125,-30.70333,1.1732545359559623,1.9463864806856987,0.7731319447297365
1.2409307,2.1714854,265.0533917,-26.7392694,9,He 2-262,21,78,HST,Hen 2-262,MASH,265.05339,-26.73927,1.3240508310300698,2.145429492965395,0.8213786619353254
1.5179666,-2.4585795,269.705,-28.8822222,10,G001.5-02.4,60,120,MASH,PN G001.5-02.4,MASH,269.705,-28.88222,0.9971331017144325,2.2641487873443435,1.267015685629911
1.590569,-6.7175867,274.0511119,-30.8689031,11,SwSt 1,126,8,HST,PN SwSt 1,MASH,274.05111,-30.8689,0.22158936216012198,2.9980234200375553,2.776434057877433
1.7135862,-4.4553352,271.8105917,-29.6901417,12,H 1-55,90,151,HST,PN H 1-55,MASH,271.81059,-29.69014,1.5072177663742385,1.9039238688475648,0.39670610247332627
1.8101666,-5.0306351,272.4454167,-29.8816667,13,G001.8-05.0,55,116,MASH,PN G001.8-05.0,MASH,272.44542,-29.88167,1.1177115231296335,2.19012491479285,1.0724133916632164
1.918116,2.1890508,265.43625,-26.1555556,14,G001.9+02.1,80,138,MASH,PN G001.9+02.1,MASH,265.43625,-26.15556,1.0491263041462224,2.115267910694655,1.0661416065484326
2.1006336,-13.4430384,281.4608333,-33.3422222,15,IC 4776,34,100,CAM98,IC 4776,MASH,281.46083,-33.34222,1.4807808023381261,2.214382878333607,0.7336020759954807
2.0702317,6.6100771,261.4229167,-23.6413889,16,G002.0+06.6,60,116,MASH,PN G002.0+06.6,MASH,261.42292,-23.64139,1.2381034245583715,2.4060441398714967,1.1679407153131252
2.0284621,1.5141615,266.1415417,-26.4158611,17,G002.0+01.5,115,173,MASH,PN G002.0+01.5,MASH,266.14154,-26.41586,1.3316374431940443,2.0200033229954513,0.688365879801407
